strategy,return_train_pct,dd_train_pct,return_test_pct,dd_test_pct,sharpe_train,sharpe_test,median_pnl_per_position_train,median_pnl_per_position_test,avg_pnl_per_position_train,avg_pnl_per_position_test,sharpe_pnl_per_position_train,sharpe_pnl_per_position_test,median_pnl_per_position_train_pct,median_pnl_per_position_test_pct,trades_train,trades_test,eligible,trial,fast_period,slow_period,tp_mode,tp_pct,tp_mgmt,sl_type,sl_trailing,exit_on_flat,sl_pct,pm_mode,tp_rr,tp1_close_frac,tp_trail_pct,grid_max_adds,grid_spacing_pct,grid_size_multiplier,martingale_multiplier,martingale_max_steps,sl_atr_period,sl_atr_mult,rsi_period,rsi_low_th,rsi_high_th,bb_period,bb_std,range_lookback,range_buffer_pct,stoch_k_period,stoch_d_period,stoch_oversold,stoch_overbought,rank_pre_wf,rank_post_wf,rank_delta
stochastic,-17.459668600559887,19.250535431673256,-16.74931556076954,16.81619280545457,-3.4559327117045733,-3.9154821627156995,1.9576807561270926,1.5289839813509647,-0.27282297185811877,-0.20370759818854015,-0.9133622540337887,-0.7987068054639421,0.019576807561270927,0.015289839813509648,1617,1613,True,4,,,rr,,partial_trailing,pct,True,False,8.830060383449327,none,4.059039600664864,0.6681183946616588,4.804604814768053,,,,,,,,,,,,,,,35.0,3.0,27.339214450385533,75.81502508768857,36,35,-1
range_breakout,-19.897554453194545,20.264348409134545,-7.446424640470816,9.732632339789484,-3.356935168795122,-1.0350515854422067,1.5727906492329295,1.451978991098572,-4.731240479496236,-0.16524273338400178,-1.7195146032000053,-0.03550699336582144,0.015727906492329295,0.014519789910985723,207,137,True,75,,,pct,3.275722643220185,partial_trailing,pct,False,True,5.949840137563593,grid,,0.2492148083198834,0.2518369506960814,6.0,0.09893409533717565,2.024186116598562,,,,,,,,,,248.0,0.4040601897822085,,,,,37,36,-1
rsi_reversion,10.38769109245301,4.558004605442417,-0.22163423966845563,5.5530757939334245,1.5385078154529166,-0.009952601494229987,105.61371678018287,1.3858821836061352,24.845780615356247,1.4223543950846458,1.622445560021956,0.08571938721002523,1.0561371678018288,0.013858821836061354,46,38,True,81,,,pct,7.915334398732629,full,pct,False,False,7.610169711798137,none,,,,,,,,,,,35.0,39.71287017107015,89.00127820023857,,,,,,,,,2,37,35
rsi_reversion,-0.7890829216561368,1.3344652476934495,-1.0042212334016365,1.3641042350903145,-0.7727776015199131,-0.7608405248172107,1.55639030779844,1.2896182101026252,0.10089740206418932,0.008813462523064981,0.10659834346091192,0.006373870904630327,0.0155639030779844,0.012896182101026252,84,97,True,83,,,pct,9.078305457464403,full,pct,False,True,7.645342170416878,none,,,,,,,,,,,28.0,25.962449447596256,82.48115864875547,,,,,,,,,38,38,0
bollinger_breakout,-0.4921575603967776,4.400061284106033,2.7996239758026675,2.495819092884915,-0.10043050837759387,0.7885865064975341,-3.5663628208510976,1.2715859205118885,-0.023097234649071652,8.537845767476028,-0.0019690708127433317,0.9322551997415186,-0.035663628208510975,0.012715859205118885,44,35,True,80,,,rr,,partial_trailing,pct,False,False,9.527602222506122,none,9.259293962880792,0.6391466008060974,4.974332171525732,,,,,,,,,,,12.0,3.0296322368059485,,,,,,,123,39,-84
rsi_reversion,-9.150588231280633,11.862983104753157,-16.566863402748332,16.78652415104994,-1.472632148378124,-2.3772157856856655,2.154163650073652,1.207872236320042,1.221525572004737,0.5883344517491036,1.7276396268255714,0.7021647739572094,0.021541636500736518,0.01207872236320042,718,863,True,72,,,rr,,full,pct,False,True,4.922491013847081,martingale,5.61019845687734,,,,,,2.3960822648826694,10.0,,,19.0,30.63178736600071,82.48115864875547,,,,,,,,,35,40,5
rsi_reversion,-8.008281730327749,10.858171294962597,-13.161041926022465,14.726501123532653,-1.498067442894234,-3.0441277537924876,3.2042500964437126,1.081257773867045,0.9865233847602248,-1.970952148677612,0.2485222838574139,-0.6715811355186327,0.03204250096443712,0.01081257773867045,124,139,True,6,,,pct,5.712158129046755,full,atr,False,True,,none,,,,,,,,,52.0,1.7602601242700036,17.0,18.647164118663504,87.42172972707115,,,,,,,,,29,41,12
stochastic,-3.4355696714410633,5.132978999507172,-10.88870280914831,11.148403697381637,-1.3716420465852555,-6.630059131472636,1.009562721403278,0.9096992940947826,2.8676149984891883,0.6358442889849147,0.9147275525937915,0.6803888165796806,0.01009562721403278,0.009096992940947825,79,162,True,58,,,pct,4.650826487804907,partial_trailing,atr,True,True,,none,,0.5923085479746593,0.6880537129307518,,,,,,38.0,3.53633586865565,,,,,,,,30.0,14.0,6.97352466328562,91.26246155767967,41,42,1
rsi_reversion,-16.757745386135536,17.245639552598018,-20.8759420849722,20.97234148638593,-4.827317413427344,-7.272571697592525,0.9671661902702344,0.6874642129199047,0.1001255627448521,-0.0815644960069918,0.5674260400397653,-0.5981900231001996,0.009671661902702345,0.006874642129199047,1861,1957,True,63,,,pct,4.19548679386003,full,pct,False,True,7.289495570231674,none,,,,,,,,,,,39.0,42.14660198632049,71.05464246068769,,,,,,,,,42,43,1
rsi_reversion,-19.036200669647517,19.67811526049526,-13.95515493244548,14.208537585594769,-2.7385524059485604,-2.2810080691835375,0.929394314303897,0.621839580833606,-0.4587936791415203,-0.2110696340696145,-0.78438737491696,-0.3155075803908738,0.009293943143038969,0.006218395808336059,1030,947,True,53,,,pct,0.8813221766441383,partial_trailing,pct,False,True,8.779938501343691,grid,,0.37103656532409746,1.6191202653997951,7.0,0.35688372309484645,1.2583893924695548,,,,,11.0,13.927650063904515,75.07348564660097,,,,,,,,,44,44,0
rsi_reversion,-15.234111708452836,15.941952352346126,-23.734110157279797,23.86574496799198,-3.7760613658584576,-4.965217934694811,0.9564209658855618,0.6101420902710252,0.32413515422484657,-0.01620104211949262,1.508173755104282,-0.06357469272927105,0.009564209658855618,0.006101420902710252,1538,1726,True,43,,,pct,4.864903001207634,full,pct,True,True,7.424651816054394,martingale,,,,,,,1.6748633868202516,5.0,,,13.0,30.805721538645077,88.78930035870422,,,,,,,,,43,45,2
rsi_reversion,-2.4473647058054104,2.7320699729293514,-2.9252451051785977,2.977307701988648,-1.9940538338583527,-2.7835727868687656,1.1707250255728567,0.5950315496332821,0.019210373929426316,-0.3884258304219961,0.04530237072480223,-0.79990117142132,0.011707250255728567,0.005950315496332821,252,212,True,9,,,pct,6.682025867849062,full,pct,False,True,7.966291670659348,none,,,,,,,,,,,28.0,14.870118819471621,71.05464246068769,,,,,,,,,40,46,6
rsi_reversion,-3.0471207213264795,9.236221480750629,-10.003991565424553,13.160343815964895,-0.3639743615487486,-1.4379060407296183,0.8973162156202991,0.5927220519717752,0.7625745417153978,0.3330233939232187,4.228110227148244,1.97205214918125,0.008973162156202991,0.005927220519717752,1757,1852,True,76,,,pct,5.9328257919342615,full,pct,False,True,9.857278418180494,grid,,,,5.0,1.0917657152993308,1.0661753306815371,,,,,32.0,40.7020401898691,78.31031231602825,,,,,,,,,45,47,2
stochastic,-23.238723296732132,23.341867168475424,-20.545583764247077,20.81425396873617,-8.355183846816029,-10.022727591800974,-0.06952813314012794,0.2974510579042201,-1.8612418342791883,0.8191238451927164,-2.1646065305711635,1.480534484679617,-0.0006952813314012794,0.002974510579042201,301,348,True,82,,,rr,,partial_trailing,atr,False,True,,none,9.261997459129915,0.8018714827047848,1.3268110571900205,,,,,,41.0,4.994722101106687,,,,,,,,9.0,6.0,5.010913255114097,88.37434996548389,63,48,-15
range_breakout,-6.18313545348339,6.282885334228405,-3.1792638773705195,3.2220871420009463,-3.161928088826375,-2.442909091694966,-0.21413602274745577,0.029352143293246556,-1.5783082427498776,-0.9383906991394496,-1.8755971311679365,-1.4702142832143958,-0.002141360227474558,0.0002935214329324656,210,139,True,46,,,rr,,partial_trailing,pct,True,True,8.6212327742378,grid,8.075986353611322,0.5314737935325206,4.04682876806211,2.0,0.4036028336343643,1.675230342807256,,,,,,,,,,234.0,0.4040601897822085,,,,,67,49,-18
stochastic,-4.764337569088162,4.773395797508292,-4.296409293661019,4.32607266472196,-1.6908374053442048,-8.347467448842018,0.05661016382022682,0.0009423084120541317,-0.1857786518843507,-0.05424703143377553,-0.21630081788713654,-0.4969398747831371,0.0005661016382022682,9.423084120541317e-06,322,414,True,89,,,rr,,partial_trailing,pct,True,True,9.987313509457968,grid,9.63404778961397,0.8978980802787908,2.4557768440963628,4.0,0.1819998015533908,1.8941222469948267,,,,,,,,,,,,10.0,8.0,8.58782737814905,86.39734361668985,57,50,-7
