strategy,return_train_pct,dd_train_pct,dd_train_intrabar_pct,exec_reject_rate_train,exec_round_rate_train,return_test_pct,dd_test_pct,dd_test_intrabar_pct,exec_reject_rate_test,exec_round_rate_test,tested,liquidated_train,liquidated_test,peak_notional_pct_equity_train,peak_notional_pct_equity_test,peak_qty_mult_train,peak_qty_mult_test,cap_hit_rate_train,cap_hit_rate_test,sharpe_train,sharpe_test,median_pnl_per_position_train,median_pnl_per_position_test,avg_pnl_per_position_train,avg_pnl_per_position_test,sharpe_pnl_per_position_train,sharpe_pnl_per_position_test,median_pnl_per_position_train_pct,median_pnl_per_position_test_pct,trades_train,trades_test,eligible,trial,martingale_max_loss_streak_train,martingale_max_loss_streak_test,martingale_max_step_used_train,martingale_max_step_used_test,martingale_max_multiplier_used_train,martingale_max_multiplier_used_test,grid_max_adds_used_train,grid_max_adds_used_test,grid_max_multiplier_used_train,grid_max_multiplier_used_test,fast_period,slow_period,tp_mode,tp_pct,tp_mgmt,tp1_close_frac,tp_trail_pct,sl_type,sl_trailing,exit_on_flat,sl_pct,pm_mode,grid_max_adds,grid_spacing_pct,grid_size_multiplier,tp_rr,martingale_multiplier,martingale_max_steps,sl_atr_period,sl_atr_mult,rsi_period,rsi_low_th,rsi_high_th,bb_period,bb_std,range_lookback,range_buffer_pct,stoch_k_period,stoch_d_period,stoch_oversold,stoch_overbought,rank_pre_wf,rank_post_wf,rank_delta
ma_cross,3.5799957353131795,3.0985304500103705,3.097013478493284,0.0,1.0,-2.751009302978491,3.112788744391099,3.1090313902458173,0.0,1.0,True,False,False,45.705407288477325,44.901130172738455,1.0,1.0,0.0,0.0,0.8539930729314256,-1.4026590418678537,2.149826000000525,-30.518104999999924,29.55854937588454,-32.98977339638715,1.0792173977276436,-1.8288066656362938,0.02149826000000525,-0.30518104999999923,13,7,False,147,0,0,0,0,1.0,1.0,0,0,1.0,1.0,77.0,236.0,rr,,full,,,pct,False,False,2.2440773877581295,none,,,,5.287595798159358,,,,,,,,,,,,,,,,,,
ma_cross,3.5945088690359617,3.394334430105205,3.4649972402801086,0.0,1.0,0.2715579694613446,1.4021008319991402,1.3632385514249736,0.0,1.0,True,False,False,49.29175544267453,48.556221214947826,1.0,1.0,0.0,0.0,0.7913850528908629,0.1375269809007098,-13.154750399999903,8.26261519999952,13.0755377357601,3.103748042857337,0.9701945862534382,0.17054822909003947,-0.13154750399999904,0.08262615199999519,34,7,True,193,0,0,0,0,1.0,1.0,0,0,1.0,1.0,24.0,213.0,pct,5.982391817235302,full,,,pct,False,True,2.064325119483725,none,,,,,,,,,,,,,,,,,,,,6,4,-2
ma_cross,4.7784602041570645,3.6783656399897295,3.6719539788094204,0.0,1.0,2.132267384592934,1.265260718665944,1.235007696461185,0.0,1.0,True,False,False,52.36213785439162,51.86877275089008,1.0,1.0,0.0,0.0,0.9607748435066703,0.926318904661702,-13.915964200000381,-8.45886159999983,13.631848231056882,15.6295983866151,1.5825520447994579,0.9868641324810377,-0.1391596420000038,-0.0845886159999983,57,16,True,178,0,0,0,0,1.0,1.0,0,0,1.0,1.0,24.0,103.0,pct,2.681781774621544,full,,,pct,False,False,1.95208560865861,none,,,,,,,,,,,,,,,,,,,,5,2,-3
ma_cross,7.006382696261926,5.032452046368665,4.893869786752362,0.0,1.0,-5.231325460208913,5.990921317474675,6.010434722636123,0.7121212121212122,0.2878787878787879,True,False,False,161.2681695260753,130.309528747351,1.0,1.0,0.0,0.0,1.0630284330365993,-1.7092237357666598,2.9802175241892983,-63.07128460756684,43.00584179251509,-38.00124876260525,1.368801782302326,-2.8421935950099932,0.02980217524189298,-0.6307128460756684,19,11,False,148,0,0,0,0,1.0,1.0,0,0,1.0,1.0,79.0,214.0,pct,0.15824235691635113,partial_trailing,0.29507536316422184,3.7768843068393427,atr,False,False,,none,,,,,,,48.0,5.8995309262779845,,,,,,,,,,,,,,
ma_cross,48.96205689343303,8.024657804169912,6.371966855990374,0.0,1.0,-1.0521771692048598,2.1542628380731634,2.1313774927606426,0.0,1.0,True,False,False,640.9617907286602,61.33997040889285,1.0,1.0,0.0,0.0,2.6839204974089124,-0.4780097978792532,-5.44273199999996,-12.817604099999969,337.05444147129157,-13.22983813999999,1.1711898270536765,-1.0170415629943887,-0.0544273199999996,-0.12817604099999969,15,5,False,46,3,1,3,1,33.70345829249839,3.2301658543627854,0,0,1.0,1.0,80.0,230.0,rr,,full,,,pct,False,False,5.309657152742471,martingale,,,,1.3392318904659088,3.2301658543627854,6.0,,,,,,,,,,,,,,,,
ma_cross,104.6022861252935,34.76039661549098,34.71576910898413,0.0,1.0,-0.006614903814661233,1.6541330155149696,1.5697096312661565,0.0,1.0,True,False,False,2183.1039852965564,56.498625874255524,1.0,1.0,0.0,0.0,1.6382742318088874,0.006699922631666152,-8.925976799999772,-14.712955899999987,659.4077240151211,3.5441125000001086,1.1369599872713865,0.20768858726520445,-0.08925976799999771,-0.14712955899999985,17,5,False,37,4,1,4,1,123.5099585333503,3.333692162154801,0,0,1.0,1.0,61.0,227.0,pct,5.392662285813037,partial_trailing,0.5836918665378286,4.058495796441746,pct,False,True,5.927608169872395,martingale,,,,,3.333692162154801,7.0,,,,,,,,,,,,,,,,
ma_cross,174.5627696263938,38.5698478665572,36.626142781372735,0.0,1.0,-0.8927812634638377,2.4216629723242034,2.4255396285196764,0.0,1.0,True,False,False,5141.448521396269,81.69855009468444,1.0,1.0,0.0625,0.0,1.787929988115445,-0.2928528817863826,-40.141200000000765,-11.602631599999732,1217.5745428467171,-10.300018579999835,1.0626608508355304,-0.6378037634017317,-0.40141200000000765,-0.11602631599999733,15,5,False,210,5,1,5,1,323.81081218133187,3.177300339685268,0,0,1.0,1.0,57.0,242.0,rr,,full,,,pct,True,False,3.941812256855927,martingale,,,,2.3612927422033345,3.177300339685268,8.0,,,,,,,,,,,,,,,,
rsi_reversion,0.0,0.0,0.0,0.0,0.0,,,,,,False,False,False,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,False,24,0,0,0,0,1.0,1.0,0,0,1.0,1.0,,,rr,,full,,,pct,False,True,2.2678314860159277,none,,,,1.862156091770729,,,,,37.0,12.031796067568848,81.4482901998675,,,,,,,,,,,
rsi_reversion,0.0,0.0,0.0,0.0,0.0,,,,,,False,False,False,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,False,77,0,0,0,0,1.0,1.0,0,0,1.0,1.0,,,pct,7.5713429670530825,partial_trailing,0.1637696932508333,0.12625795607833373,atr,False,True,,martingale,,,,,2.7607331054124433,6.0,14.0,0.7121251777592158,37.0,12.127112187030932,87.44816828888347,,,,,,,,,,,
rsi_reversion,0.0,0.0,0.0,0.0,0.0,,,,,,False,False,False,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,False,110,0,0,0,0,1.0,1.0,0,0,1.0,1.0,,,pct,6.751463744344562,partial_trailing,0.41255152402444695,3.4649831644902074,atr,False,False,,martingale,,,,,1.1191153493178647,7.0,22.0,5.975537695068362,37.0,12.127112187030932,81.06241685878312,,,,,,,,,,,
